Name	Set	ImageFile	Type	Gold	Number	Rarity	Text	Lore
Draco	02Kingdom	K029	Dragon	2	29	Rare-1	STRENGTH: 3 Once Draco attacks he must continue to attack during that same turn until he dies or discovers terrain.	Draco has a tail that can kill with one swipe.
Shapeshifter	02Kingdom	K030	Dragon	0	30	Rare-1	STRENGTH: 3 Shapeshifter takes on the base strength of one dragon attacking it or defending against it.	
Moat	02Kingdom	K031	Terrain	2	31	Uncommon-1	STRENGTH MODIFIER: -2 Does not affect flying dragons.	
Vines	02Kingdom	K032	Terrain	2	32	Uncommon-1	No battle action cards can be played in a battle this dragon is part of.  Vines affect flying dragons only.	
Coral Reef	02Kingdom	K033	Terrain	2	33	Common-1	STRENGTH MODIFIER: -1	
Swamp	02Kingdom	K034	Terrain	2	34	Common-1	STRENGTH MODIFIER: -1	
Frozen Lake	02Kingdom	K035	Terrain	0	35	Uncommon-1	Kills dragons of 4 or more strength.  Has no effect on any other dragons.	Big Dragons are on thin ice.
Pit	02Kingdom	K036	Terrain	0	36	Uncommon-1	Kills dragons of 3 or less strength.	
Cliff	02Kingdom	K037	Terrain	1	37	Uncommon-1	STRENGTH MODIFIER: -2	
Crevice	02Kingdom	K038	Terrain	2	38	Uncommon-1	No battle action cards can be played in a battle this dragon is part of.  The Crevice does not affect flying dragons.	
Wall	02Kingdom	K039	Terrain	1	39	Uncommon-1	Dragon cannot get any help from other dragons during attack and defense for the rest of the game.	
Desert	02Kingdom	K040	Terrain	2	40	Common-1	STRENGTH MODIFIER: -1	
Cave	02Kingdom	K041	Terrain	1	41	Common-1	Dragon can only attack face down cards for the rest of the game.  If there are no face down cards to attack he attacks a face up card he could normally attack at -1 strength.	
Clouds	02Kingdom	K042	Terrain	2	42	Uncommon-1	STRENGTH MODIFIER: -2 This card affects flyers only.	
Forest	02Kingdom	K043	Terrain	2	43	Common-1	STRENGTH MODIFIER: -1	
Swamp Hole	02Kingdom	K044	Terrain	1	44	Uncommon-1	Kills dragons of 2 or less strength.	
Tunnel	02Kingdom	K045	Terrain	2	45	Uncommon-1	Dragon can only attack cards in a direct line across from the dragon's card.  If there are no cards there to attack he may attack any card he could normally attack at -1 strength.	
Quicksand	02Kingdom	K046	Terrain	0	46	Rare-1	Quicksand causes dragon to lose one strength immediately and one strength during each of dragon owner's draw phases.	
River	02Kingdom	K047	Terrain	2	47	Common-1	STRENGTH MODIFIER: -1	
Ocean	02Kingdom	K048	Terrain	2	48	Common-1	STRENGTH MODIFIER: -1	
Lake	02Kingdom	K049	Terrain	2	49	Common-1	STRENGTH MODIFIER: -1	
Mansion in the Sky	02Kingdom	K050	Treasure	1	50	Uncommon-1	All face up flying dragons in this row are in the Mansion in the Sky.  Non-flying dragons lose two strength for the rest of a battle with a dragon in the Mansion.	
Golden Fleece	02Kingdom	K051	Treasure	3	51	Rare-2	Dragons in this row gain +2 strength when attacking.	
Golden Apples	02Kingdom	K052	Treasure	0	52	Common-1	Dragons in this row can't be killed by terrain.	
Pearl	02Kingdom	K053	Treasure	0	53	Common-1	When a dragon in this row wins a battle, draw one card from your treasure horde draw pile.	
Jewels	02Kingdom	K054	Treasure	2	54	Common-1	Dragons in this row gain +1 strength when defending.	
Dragon Egg	02Kingdom	K055	Treasure	0	55	Rare-1	Action: Pay 3 gold pieces to hatch the Dragon Egg.  It becomes a two strength dragon.  Replace a card in your battlefield with Egg.  Egg starts face up.	
Sword	02Kingdom	K056	Treasure	2	56	Common-1	Dragons in this row gain +1 strength when attacking.	
Gold	02Kingdom	K057	Treasure	0	57	Common-1	When a dragon in this row wins a battle you get a gold piece.	
Princess Libya	02Kingdom	K058	Treasure	0	58	Common-1	St. George must rescue Princess Libya instead of removing any other treasure in your battlefield.	
Oriental Princess	02Kingdom	K059	Treasure	0	59	Rare-1	Whoever wins a battle gets two gold pieces until Princess is removed from play.	
Maiden in Distress	02Kingdom	K060	Treasure	0	60	Common-1	Dragons in this row can't be killed by dragon slayers.  Any dragon slayer can remove Maiden in Distress from game.	
Firebreathing	02Kingdom	K061	Battle Action	0	61	Common-2	STRENGTH MODIFIER: +1	
Flood	02Kingdom	K062	Battle Action	0	62	Common-1	No Dwarven Armies allowed in this battle.	
Hailstorm	02Kingdom	K063	Battle Action	1	63	Common-2	All flying dragons lose two strength for the rest of this battle.	
Tsunami	02Kingdom	K064	Action	0	64	Common-1	For every one of your dragons you turn face up during this action phase, draw one card from your treasure horde draw pile.  Be sure to pay for any dragons being turned up for the first time.	
High Winds	02Kingdom	K065	Action	4	65	Rare-2	All face up flying dragons are killed.	
Help	02Kingdom	K066	Battle Action	1	66	Common-2	You may bring one dragon one card away into this battle.  Flying dragons can come from anywhere in your battlefield.	
Frost Breathing	02Kingdom	K067	Battle Action	0	67	Common-1	No Fire Breathing can be played during this battle.	
Hero	02Kingdom	K068	Action	2	68	Rare-2	One of your dragons can attack twice during your battle phase this turn.	
Poison Breathing	02Kingdom	K069	Battle Action	0	69	Common-2	The dragon that wins this battle loses 1 strength.  This takes effect after battle for rest of game.	
Sacrifice	02Kingdom	K070	Battle Action	0	70	Common-2	The winner of this battle must pay two gold pieces to the loser.	
Knowledge	02Kingdom	K071	Action	0	71	Common-1	Look at a player's hand.	
Magical Sword	02Kingdom	K072	Battle Action	1	72	Common-2	STRENGTH MODIFIER: +2	
Seaweed	02Kingdom	K073	Action	1	73	Common-2	Seaweed is played on a face up dragon and gives that dragon a -1 strength modifer for this turn.	
Whirlpool	02Kingdom	K074	Action	1	74	Rare-2	Draw 2 cards from your treasure horde draw pile.	
Medea's Spell	02Kingdom	K075	Battle Action	2	75	Rare-2	A dragon of your choice is now 0 base strength for the rest of this battle.	Medea is able to put dragons to sleep with her spell.
Fireball	02Kingdom	K076	Battle Action	3	76	Common-2	STRENGTH MODIFIER: +4	
Fire Bolt	02Kingdom	K077	Battle Action	2	77	Common-2	STRENGTH MODIFIER: +3	
Poison Chalice	02Kingdom	K078	Battle Action	3	78	Rare-2	The side with the lowest strength wins this battle.	
Strangle Hold	02Kingdom	K079	Action	1	79	Rare-2	Player of your choice must discard 2 cards from his hand.	
Avalanche	02Kingdom	K080	Action	0	80	Common-2	All face up dragons are turned face down.	
Earthquake	02Kingdom	K081	Action	0	81	Common-1	All players must discard 1 card from their hands.	
Golden Apple	02Kingdom	K082	Battle Action	1	82	Common-2	The dragon you play the Golden Apple on survives this battle even if he loses.	
Armor	02Kingdom	K083	Battle Reaction	0	83	Common-2	Counters any battle action card with the words STRENGTH MODIFIER on the card.	
Night	02Kingdom	K084	Battle Action	0	84	Common-2	Cancels current battle.  Dragons go back to their positions face up.	
St. George	02Kingdom	K085	Dragon Slayer Action	0	85	Common-2	St. George removes any one treasure from the game.	
Sigurd	02Kingdom	K086	Dragon Slayer Action	1	86	Common-2	Sigurd kills any dragon of 2 or less strength.	
Sir Lancelot	02Kingdom	K087	Dragon Slayer Action	2	87	Common-2	Sir Lancelot kills any dragon of 3 or less strength.	
Kiss of Le Succube	02Kingdom	K088	Reaction	2	88	Rare-2	Kiss of Le Succube is played in response to the play of a dragon slayer.  The dragon slayer is discarded with no effect and you can destroy any card on the table.	
Marina	02Kingdom	K089	Reaction	0	89	Common-2	Marina counters the play of a dragon slayer.	The Russian Sorceress Marina likes to seduce brave dragon slayers and change them into harmless magpies, pigs or oxen.
Jason	02Kingdom	K090	Dragon Slayer Action	3	90	Rare-2	Jason kills any dragon.	
Shan	02Kingdom	K091	Dragon	1	91	Uncommon-2	STRENGTH: 1 FLYING If Shan Dragon loses a battle you draw one card from your treasure horde draw pile.	The Shan Dragon breathes mist and illusions.
Gani	02Kingdom	K092	Dragon	1	92	Uncommon-2	STRENGTH: 3 If Gani is face up no treasure can be removed from this row by opponent.	Gani is a Persian Dragon that guards treasure.
Hydra	02Kingdom	K093	Dragon	0	93	Uncommon-2	STRENGTH: 4 After each battle the Hydra loses 1 strength.  You may pay one gold piece to grow another head and increase the Hydra's strength by one.  You may do this once a turn.	
Grendel	02Kingdom	K094	Dragon	1	94	Rare-1	STRENGTH: 0 SCOUT Grendel steals any gold on terrain discovered by Grendel.	
Celestial	02Kingdom	K095	Dragon	0	95	Uncommon-2	STRENGTH: 5 FLYING	The Celestrial Dragon is the Dragon of Emperors and rules all Chinese Dragons.
Mokelembembe	02Kingdom	K096	Dragon	1	96	Uncommon-2	STRENGTH: 2 If Mokelembembe loses a battle you draw a card from your treasure horde draw pile.	Mokelembembe is a vegetarian dragon that lives in a river cave.
Naga	02Kingdom	K097	Dragon	1	97	Uncommon-2	STRENGTH: 3 Naga attacks at 6 strength from face down and 0 strength from face up.	Naga is a serpent of India that can appear with a human head.
Gargouille	02Kingdom	K098	Dragon	1	98	Uncommon-2	STRENGTH: 2 Pay one gold piece to increase strength by two for this battle.  You can only do this once per battle.	Gargouille is a French Dragon that produces and controls Gargoyles.
Rahah	02Kingdom	K099	Dragon	0	99	Uncommon-2	STRENGTH: 1 Rahah attacks at 2 strength from face down and 0 strength from face up.	Rahah is a Biblical Dragon that can only be destroyed by White magic.
Kioh-lung	02Kingdom	K100	Dragon	1	100	Uncommon-2	STRENGTH: 0 SCOUT If Kioh-lung loses a battle, draw one card from your treasure horde draw pile.	
Kulkulcan	02Kingdom	K101	Dragon	1	101	Uncommon-2	STRENGTH: 3 SUPER FLYER Kulkulcan can attack any card.	
Lambton Worm	02Kingdom	K102	Dragon	0	102	Uncommon-2	STRENGTH: 1 Pay one gold to bring Lambton Worm from your dragon lair discard pile to a vacant position in your battlefield face down.  You can only do this once.	Lambton Worm is a serpent that can regenerate.
Gandarewa	02Kingdom	K103	Dragon	0	103	Uncommon-2	STRENGTH: 3 Gandarewa attacks at 4 strength from face down and 0 strength from face up.	Gandarewa is a sea Dragon that is master of the water and its creatures.
Ajatar	02Kingdom	K104	Dragon	1	104	Rare-1	STRENGTH: 4 Ajatar attacks at 8 strength from face down and 0 strength from face up.	Ajatar can cause disease and curses.
Pan Lung	02Kingdom	K105	Dragon	1	105	Uncommon-2	STRENGTH: 0 FLYING SCOUT Flying dragons lose one strength after any battle with Pan Lung.	Pan Lung is a cloud Dragon that can cause storms and create fiery water.
Mountains	02Kingdom	K106	Terrain	1	106	Uncommon-1	STRENGTH MODIFIER: -2	
Snowdrifts	02Kingdom	K107	Terrain	0	107	Uncommon-1	A dragon caught in a Snowdrift must pay one gold piece to attack.	
Forest Fire	02Kingdom	K108	Terrain	0	108	Uncommon-1	Kills any dragon that discovers it.  Replace Forest Fire then give it to opponent who can now destroy any card in play.	
Brush Fire	02Kingdom	K109	Terrain	2	109	Uncommon-1	This dragon can't use the effects of any treasure for the rest of the game.	
Underwater Cave	02Kingdom	K110	Terrain	2	110	Uncommon-1	Dragon can only attack face up cards for the rest of the game.  If there are no face up cards he then attacks a face down card at -1 strength.	
Cauldron	02Kingdom	K111	Treasure	1	111	Common-1	Action: On each of your turns you may turn a dragon in this row face down.	
Fountain of Youth	02Kingdom	K112	Treasure	1	112	Common-1	Battle Action: One dragon in this row can survive a lost battle.  As soon as  this happens you discard the Fountain of Youth.	
Silver Chalice	02Kingdom	K113	Treasure	0	113	Rare-1	Battle Action: A dragon in this row gains +1 Strength when attacking for each gold piece paid.	
Magic Potion	02Kingdom	K114	Treasure	2	114	Common-1	Battle Action: One dragon in this row can help any other dragon in this row in a battle.	
Magic Wand	02Kingdom	K115	Treasure	1	115	Common-1	Action: Any dragon in this row can become a flyer or a non-flyer for the rest of the turn.	
Pick a Treasure	02Kingdom	K116	Treasure	2	116	Common-1	Action: Discard this treasure from your battlefield and put a treasure from your opponent's battlefield in its place.  Be sure to return the treasure to its owner after game.	
Shipwreck	02Kingdom	K117	Treasure	0	117	Common-1	All terrain in this row gets a -1 strength modifier in addition to any on the card.	
Secret Treasure	02Kingdom	K118	Treasure	0	118	Common-1	Action: Draw one card from your treasure horde draw pile for each gold piece you pay.	
Treasure Room	02Kingdom	K119	Treasure	0	119	Common-1	When any dragon in this row loses a battle you get a gold piece.	
Magic Shield	02Kingdom	K120	Treasure	0	120	Rare-1	Battle Action: A dragon in this row gains +1 Strength when defending for each gold piece paid.	
Snow Storm	02Kingdom	K121	Action	4	121	Rare-2	A player of your choice misses next turn.	
Twister	02Kingdom	K122	Action	0	122	Common-1	All players may rearrange all cards in their battlefield.	
Volcanic Eruption	02Kingdom	K123	Action	2	123	Common-1	Bring any card back from your treasure horde discard pile to your hand.	
Meteor Shower	02Kingdom	K124	Action	0	124	Common-2	All players discard their hands and draw 5 cards from their treasure horde draw piles.	
Heatwave	02Kingdom	K125	Action	0	125	Common-2	All dragons who are face up lose 1 strength for this turn.	
Magical Healing	02Kingdom	K126	Action	0	126	Common-2	One dragon of your choice is healed back to full strength.	
Power Switch	02Kingdom	K127	Battle Action	2	127	Rare-2	The two dragons who started this battle switch base strength numbers until the end of the battle.	
Magnetic Field	02Kingdom	K128	Reaction	2	128	Rare-2	The Magnetic Field can be played at any time to counter the play of any kind of action card.	
Dwarven Army	02Kingdom	K129	Battle Action	0	129	Common-2	STRENGTH MODIFIER: +1	
Crystal Ball	02Kingdom	K130	Action	0	130	Common-2	You may look at the next 5 cards in any player's treasure horde draw pile.  You may then reshuffle the draw pile or rearrange the 5 cards in any order you wish.	
Possession Spell	02Kingdom	K131	Battle Action	1	131	Common-2	You may possess the base strength of any face up dragon in any battlefield and add it to a dragon in this battle.  The dragon possessed cannot be one that is currently in the battle.  The dragon possessed now has a base strength of 0 for the rest of this battle.	
Beowulf	02Kingdom	K132	Dragon Slayer Action	0	132	Common-2	Beowulf kills any dragon of 0 or less strength.	
Battle Chaos	02Kingdom	K133	Battle Action	0	133	Common-2	All players may bring as many dragons as they want into this battle from anywhere in their battlefields.	
Doomsday	02Kingdom	K134	Action	5	134	Rare-2	All face up dragons are killed.  All players draw 2 cards from their treasure horde draw pile for each of their dragons killed and replace each dragon with cards placed face down from their dragon lair draw pile.	
Turn the Tables	02Kingdom	K135	Action	1	135	Rare-2	You must play Turn the Tables during your opponent's turn.  You decide which card of yours gets attacked this turn.  Opponent must attack if possible.	
Wyvern Shadow	02Kingdom	K136	Action	0	136	Rare-2	Play on face up Wyvern.  Adds +2 strength to Wyvern for rest of game.	
Vampire	02Kingdom	K137	Dragon	2	137	Rare-1	STRENGTH: 1 When Vampire is attacking one strength is taken away from each defending dragon and added to Vampire.  These strength changes are permanent.	
Loki	02Kingdom	K138	Dragon	1	138	Uncommon-2	STRENGTH: 2 Get one gold piece from the gold mine for each won battle.	Loki is a Dragon from Icelandic legend.
Mo-o	02Kingdom	K139	Dragon	1	139	Uncommon-2	STRENGTH: 0 SCOUT Get one gold piece from the gold mine each time Mo-o discovers a terrain.	Mo-o is one of many Hawaiian Dragons.
Geates	02Kingdom	K140	Dragon	1	140	Uncommon-2	STRENGTH: 2 FLYING When Geates wins a battle, one treasure in row of losing dragon is discarded.  You decide which one.	Geates is the Dragon slayed by Beowulf in Anglo-Saxon myth.
Dragonel	02Kingdom	K141	Dragon	1	141	Uncommon-2	STRENGTH: 2 When Dragonel wins a battle you get one card from your treasure horde draw pile.	Dragonel is a young Dragon.
Tatzlwurm	02Kingdom	K142	Dragon	0	142	Uncommon-2	STRENGTH: 2 SUBTERRANEAN Giant Ants cannot be played by either side in a battle Tatzlwurm is part of.	
Pi-Hsi	02Kingdom	K143	Dragon	1	143	Uncommon-2	STRENGTH: 2 Pi-Hsi gains +2 strength in current battle if a treasure in this row is discarded.	Pi-Hsi is Dragon Ruler of the Rivers.
Chen Lung	02Kingdom	K144	Dragon	1	144	Uncommon-2	STRENGTH: 3 When Chen Lung is face up you cannot be forced to discard any cards from your hand.	Chen-Lung is a Chinese guardian Dragon.
Ryu	02Kingdom	K145	Dragon	1	145	Uncommon-2	STRENGTH: 3 FLYING Ryu gains one strength for each treasure played in this row when he is face up.  Ryu loses this strength if he is turned face down.	
Bait	02Kingdom	K146	Dragon	0	146	Uncommon-2	STRENGTH: 2 Archers cannot be used by either side in a battle that Bait is part of.	Bait is a four-winged serpent from ancient Egyptian mythology.
Cecrops	02Kingdom	K147	Dragon	0	147	Uncommon-1	STRENGTH: 2 FLYING No Ravens can be played by either side in a battle the Cecrops is part of.	
Giant	02Kingdom	K148	Dragon	0	148	Uncommon-1	STRENGTH: 5 Giant costs 4 gold pieces when turned face up and loses one strength in your draw phase each turn his is face up.  Giant goes back to  5 strength if he is turned face down.	Giant is a serpent-footed Dragon of Roman mythology.
Abraxus	02Kingdom	K149	Dragon	1	149	Uncommon-1	STRENGTH: 0 You may discard Abraxus from your battlefield during a battle to give any other Dragon +3.  If Abraxus is face down when you do this, then pay the 1 gold cost.	Abraxus is the ruler of magical influence.
Ea	02Kingdom	K150	Dragon	0	150	Uncommon-1	STRENGTH: 0 Pay gold in battle to raise Ea's strength by one for each gold piece paid.	
Osiris	02Kingdom	K151	Dragon	0	151	Uncommon-2	STRENGTH: 4 SUBTERRANEAN	Osiris is a Leviathan of the Deep.
Kane-kua-ana	02Kingdom	K152	Dragon	1	152	Uncommon-1	STRENGTH: 1 You may discard Kane-kua-ana from your battlefield instead of a dragon that just lost a battle.  If Kane-kua-ana is face down when this happens then pay the 2 gold cost.	Kane-kua-ana is the Hawaiian Dragon that brought the oysters to Ewa Lagoon.
Apep	02Kingdom	K153	Dragon	0	153	Uncommon-1	STRENGTH: 3 SUBTERRANEAN	Apep is an Egyptian Dragon that symbolizes darkness and evil.
Indra	02Kingdom	K154	Dragon	1	154	Rare-1	STRENGTH: 2 FLYING Indra can help any dragon in a battle.	Indra is an Indian Dragon known as the Drought Dragon.
Yellow	02Kingdom	K155	Dragon	2	155	Rare-1	STRENGTH: 4 Immune to dragon slayers.  You get one gold from gold mine each of your draw phases Yellow Dragon is face up.	Chinese Dragon that rules over the last month of summer.
Bride's Serpent	02Kingdom	K156	Dragon	1	156	Uncommon-1	STRENGTH: 3 When Bride's Serpent wins a battle loser must discard one card from hand at random.	The Bride's Serpent is a Scottish Dragon.
Blue	02Kingdom	K157	Dragon	2	157	Rare-1	STRENGTH: 5 SUPER FLYER Immune to dragon slayers.  Can attack any card.  Draw an extra card in each of your draw phases that Blue is face up.	Chinese Dragon that rules spring.
White	02Kingdom	K158	Dragon	2	158	Rare-1	STRENGTH: 4 FLYING Immune to dragon slayers.  When White is face up opponent can't play treasure cards.	Chinese Dragon that rules autumn.
Black	02Kingdom	K159	Dragon	2	159	Rare-1	STRENGTH: 4 SUBTERRANEAN Immune to dragon slayers.  Opponent loses one gold to the gold mine on each of his draw phases that Black is face up.	Chinese Dragon that rules winter.
Red	02Kingdom	K160	Dragon	2	160	Rare-1	STRENGTH: 6 Immune to dragon slayers.  Add +1 to all battle action strength modifiers when played on Red.	Chinese Dragon that rules over summer.
Mount Chung	02Kingdom	K161	Dragon	1	161	Uncommon-1	STRENGTH: 3 Pay two gold pieces to cancel any battle that Mount Chung is part of.	When the Mount Chung Dragon opens its eyes it's day and when he closes them it's night.
Ananta	02Kingdom	K162	Dragon	1	162	Uncommon-1	STRENGTH: 3 Subterranean dragons lose two strength for rest of battle that Ananta is part of.	Ananta is an Indian serpent with nine heads.
Delphyne	02Kingdom	K163	Dragon	1	163	Uncommon-1	STRENGTH: 0 FLYING SCOUT Get one card from your treasure horde draw pile each time Delphyne discovers a terrain.	Delphyne is a she-Dragon from Greek mythology.
Python	02Kingdom	K164	Dragon	0	164	Uncommon-2	STRENGTH: 2 SUBTERRANEAN	
Nidhoggr	02Kingdom	K165	Dragon	0	165	Uncommon-1	STRENGTH: 1 SUBTERRANEAN	Nidhoggr is the first Nordic Dragon.  He is known for gnawing at the root of the Universal Tree.
Laidly Worm	02Kingdom	K166	Dragon	1	166	Uncommon-1	STRENGTH: 1 When Laidly Worm loses a battle the winning player must discard one card at random from his hand.	The Laidly Worm used to be a beautiful girl who was turned into a Dragon.
Sito	02Kingdom	K167	Dragon	1	167	Uncommon-1	STRENGTH: 4 When Sito wins a battle you get one gold piece from the gold mine.	Sito is the Devine Serpent of Egypt.
Lotan	02Kingdom	K168	Dragon	1	168	Uncommon-1	STRENGTH: 3 No battle action cards can be used by either side in battle with Lotan.	Lotan is a Primeval Serpent with seven heads from Cananite mythology.
Midgard Serpent	02Kingdom	K169	Dragon	0	169	Uncommon-1	STRENGTH: 0 SCOUT SUBTERRANEAN	The Nordic Serpent of Midgard.
Behomoth	02Kingdom	K170	Dragon	0	170	Rare-1	STRENGTH: 7 FLYING	Behomoth with fight Leviathan at the end of the world.
Aaron's Rod	02Kingdom	K171	Treasure	1	171	Rare-2	Battle Action: A dragon in this row gains +1 Strength for each card you discard from your hand.	When Aaron cast t he rod before the Pharoah it became a serpent.
Dragon Mother	02Kingdom	K172	Treasure	0	172	Rare-1	When Dragon Mother is in play the top card of all treasure horde draw piles is always face up.	The Dragon Mother can tell future events.
Dragon Bones	02Kingdom	K173	Treasure	0	173	Rare-1	Action: Pay one gold piece to remove as many cards as you want from one dragon in this row.	Dragon Bones are used for medicinal purposes.
Dragon Skin	02Kingdom	K174	Treasure	0	174	Rare-1	When replacing any card in your battlefield draw two cards from your dragon lair draw pile.  Discard the card you don't use.	Dragon Skin glows in the dark.
Tablets of Destiny	02Kingdom	K175	Treasure	0	175	Rare-1	During each of your draw phases you may pay one gold piece and call out a card.  Opponent must discard one of that card if he has it.	The Tablets of Destiny were discovered by the Babylonian Marduk.
Dragon Ashes	02Kingdom	K176	Treasure	0	176	Rare-1	During each of your draw phases you may pay one gold piece and discard the top 3 cards from your opponent's treasure horde draw pile.	
Dracontias	02Kingdom	K177	Treasure	1	177	Rare-1	Dragons in this row cost one less gold when turned face up.	Dracontias is a gem found in the head of a Dragon.  It must be removed while the Dragon is living to be valuable.
Vishnu	02Kingdom	K178	Action	4	178	Rare-2	A face up dragon of your choice must be turned face down.  This dragon will have to be paid for again the next time it is turned face up.	
Indra's Spell	02Kingdom	K179	Reaction	0	179	Rare-2	Counters any weather related action card (Heatwave, High Winds, Flood, etc.) Can be used during a battle.	Indra is the Indian Weather God who can abruptly change the weather.
Apollo	02Kingdom	K180	Battle Action	1	180	Rare-2	Draw 2 cards from your treasure horde draw pile.	
Cadmus	02Kingdom	K181	Dragon Slayer Action	2	181	Common-2	Cadmus kills any flying dragon.	Cadmus is a Greek Dragon Slayer.
Thor	02Kingdom	K182	Dragon Slayer Action	2	182	Common-2	Thor kills any subterranean dragon.	
Poisonous Air	02Kingdom	K183	Action	0	183	Common-2	All players lose one gold piece for each face up dragon in their battlefields.	
Pirendeus Tree	02Kingdom	K184	Action	2	184	Common-2	The card you play the Pirendeus Tree on cannot be attacked by a dragon this turn.	Dragons always avoid the Pirendeus Tree.
Martha of Bethany	02Kingdom	K185	Action	1	185	Common-1	Play on a face up dragon.  This dragon is immune to dragon slayers for as long as Martha is on the dragon.  If this dragon turns face down, Martha is discarded.	Dragon Slayerrs have to eat too.
Marduk	02Kingdom	K186	Action	1	186	Common-2	No battle action cards can be played this turn.	Marduk is the son of Tiamat.
Ra	02Kingdom	K187	Battle Reaction	0	187	Common-2	This battle cannot be canceled.	Ra is the Sun God.
Seth	02Kingdom	K188	Dragon Slayer Action	2	188	Rare-3	Seth attacks an opponent's face down card.  Turn the attacked card face up.  If it's a terrain card it is discarded.  If it's a dragon it stays face up and is not paid for.	
Zeus	02Kingdom	K189	Action	0	189	Common-2	No scouts can attack this turn.	
